carrier,delay,origin,count,destination
AA,-10.5,ABQ,31.0,ORD
AS,-4.0,ABQ,3.0,SEA
B6,-6.5,ABQ,19.0,JFK
DL,-19.0,ABQ,50.0,ATL
DL,-19.0,ABQ,2.0,MSP
DL,-19.0,ABQ,34.0,SLC
EV,-13.0,ABQ,4.0,IAH
F9,-15.0,ABQ,34.0,DEN
G4,-5.5,ABQ,9.0,AUS
G4,-5.5,ABQ,9.0,LAS
MQ,-5.0,ABQ,27.0,ORD
OO,-10.0,ABQ,61.0,DEN
OO,-10.0,ABQ,6.0,IAH
OO,-10.0,ABQ,31.0,LAX
OO,-10.0,ABQ,30.0,PHX
OO,-10.0,ABQ,58.0,SFO
OO,-10.0,ABQ,1.0,SLC
UA,-10.0,ABQ,58.0,DEN
UA,-10.0,ABQ,7.0,IAH
WN,-7.0,ABQ,10.0,AUS
WN,-7.0,ABQ,31.0,BWI
WN,-7.0,ABQ,141.0,DAL
WN,-7.0,ABQ,86.0,DEN
WN,-7.0,ABQ,86.0,HOU
WN,-7.0,ABQ,111.0,LAS
WN,-7.0,ABQ,65.0,LAX
WN,-7.0,ABQ,31.0,MCI
WN,-7.0,ABQ,38.0,MDW
WN,-7.0,ABQ,62.0,OAK
WN,-7.0,ABQ,169.0,PHX
WN,-7.0,ABQ,58.0,SAN
YV,-6.0,ABQ,82.0,IAH
YV,-6.0,ABQ,122.0,PHX
YX,-5.0,ABQ,3.0,DEN
YX,-5.0,ABQ,1.0,IAH
YX,-5.0,ABQ,7.0,ORD
OO,-4.0,ABR,62.0,MSP
9E,-5.5,ABY,83.0,ATL
OO,-9.0,ACV,97.0,SFO
NK,-9.0,ACY,62.0,MCO
NK,-9.0,ACY,31.0,MYR
NK,-9.0,ACY,31.0,TPA
AS,-9.5,ADQ,52.0,ANC
9E,-15.0,AEX,99.0,ATL
EV,-11.0,AEX,78.0,IAH
OO,17.0,AEX,1.0,ATL
9E,30.0,AGS,1.0,ATL
DL,-8.5,AGS,29.0,ATL
EV,-11.5,AGS,4.0,ATL
OH,-5.0,AGS,58.0,CLT
OO,3.0,AGS,192.0,ATL
AA,-6.0,ALB,66.0,CLT
B6,5.0,ALB,31.0,MCO
DL,-23.0,ALB,84.0,ATL
DL,-23.0,ALB,28.0,DTW
DL,-23.0,ALB,2.0,MSP
EV,-5.0,ALB,24.0,EWR
EV,-5.0,ALB,24.0,ORD
MQ,1.0,ALB,61.0,ORD
OH,-20.5,ALB,13.0,CLT
OO,-5.5,ALB,56.0,DTW
OO,-5.5,ALB,35.0,ORD
UA,0.0,ALB,13.0,ORD
WN,-8.0,ALB,148.0,BWI
WN,-8.0,ALB,30.0,DEN
WN,-8.0,ALB,59.0,MCO
WN,-8.0,ALB,62.0,MDW
WN,-8.0,ALB,34.0,TPA
YX,-8.0,ALB,69.0,PHL
MQ,1.0,ALO,58.0,ORD
EV,-15.0,AMA,81.0,IAH
OO,-9.0,AMA,15.0,DEN
WN,-11.5,AMA,117.0,DAL
WN,-11.5,AMA,31.0,LAS
AS,-12.0,ANC,52.0,ADQ
AS,-12.0,ANC,73.0,BET
AS,-12.0,ANC,30.0,CDV
AS,-12.0,ANC,86.0,FAI
AS,-12.0,ANC,31.0,HNL
AS,-12.0,ANC,116.0,JNU
AS,-12.0,ANC,7.0,LAS
AS,-12.0,ANC,27.0,LAX
